source,target,edge_type,distance_km,source_latitude,source_longitude,target_latitude,target_longitude
39.0,44.0,tidal,4.898669329739566,24.515022382348345,54.476045288,24.545198406191368,54.51132692736
39.0,45.0,tidal,3.8798467288657688,24.515022382348345,54.476045288,24.54969472873671,54.480345092533334
40.0,47.0,tidal,3.571790778122921,24.52752975844277,54.563552120800004,24.55684180079067,54.57799547965715
41.0,42.0,tidal,4.055927632239011,24.529429613039394,54.506097435360005,24.533466804057223,54.5459461644
41.0,45.0,tidal,3.4442874505638335,24.529429613039394,54.506097435360005,24.54969472873671,54.480345092533334
41.0,48.0,tidal,4.517735938301338,24.529429613039394,54.506097435360005,24.56552685037523,54.52659704399999
42.0,44.0,tidal,3.7368701970057585,24.533466804057223,54.5459461644,24.545198406191368,54.51132692736
42.0,46.0,tidal,2.775043020043136,24.533466804057223,54.5459461644,24.54272859521576,54.57142126114286
42.0,47.0,tidal,4.15502685349664,24.533466804057223,54.5459461644,24.55684180079067,54.57799547965715
42.0,48.0,tidal,4.06676647658865,24.533466804057223,54.5459461644,24.56552685037523,54.52659704399999
43.0,46.0,tidal,4.370065921383968,24.534043545631196,54.61355602525715,24.54272859521576,54.57142126114286
43.0,47.0,tidal,4.4004114369459195,24.534043545631196,54.61355602525715,24.55684180079067,54.57799547965715
43.0,49.0,tidal,4.950088127895983,24.534043545631196,54.61355602525715,24.573506239681045,54.63620719632
44.0,45.0,tidal,3.1732870829041007,24.545198406191368,54.51132692736,24.54969472873671,54.480345092533334
44.0,48.0,tidal,2.7376372648564873,24.545198406191368,54.51132692736,24.56552685037523,54.52659704399999
45.0,48.0,tidal,4.998069826192825,24.54969472873671,54.480345092533334,24.56552685037523,54.52659704399999
50.0,52.0,tidal,4.530211234084706,24.623591156484522,54.595626338399995,24.625562255628516,54.55086188688
50.0,53.0,tidal,3.710339420113861,24.623591156484522,54.595626338399995,24.64152103424015,54.564667745760005
50.0,54.0,tidal,4.990171180885612,24.623591156484522,54.595626338399995,24.64559215123291,54.63865758685715
51.0,52.0,tidal,2.362935072395459,24.60998344793621,54.5349642312,24.625562255628516,54.55086188688
51.0,53.0,tidal,4.61656441205104,24.60998344793621,54.5349642312,24.64152103424015,54.564667745760005
52.0,53.0,tidal,2.257477543829296,24.625562255628516,54.55086188688,24.64152103424015,54.564667745760005
